Timestamp,How much have you currently spent?,How often do you play?,What are your spending habits?,When do you usually spend(orbs) on a banner? (just any given banner in general),How fast do you complete quests,How do you go about getting orb rewards,Have you let pity rates over 4.25 die?,"There's a new deal, you can buy a character you really want for a bulk sum of orbs, how many orbs are you willing to pay?"," Orb prices have decreased by 15% for a week, will you buy?","Your pity rate is 4.75 but this week orbs are 30% more expensive, will you buy?","Your pity rate is at 4.75 but the one time deals are 2 or 1, what do you choose"
2018/03/23 9:47:43 PM EST,1,2,1,2,1,0,1,20,0,0,0
2018/03/23 9:49:39 PM EST,0,2,0,1,1,0,1,100,0,0,0
2018/03/23 9:50:57 PM EST,1,2,1,0,0,1,1,30,1,0,2
2018/03/23 9:52:17 PM EST,1,2,2,4,1,0,2,25,1,0,1
2018/03/23 9:52:25 PM EST,1,2,1,0,1,0,3,50,1,0,1
2018/03/23 9:52:37 PM EST,1,2,1,1,0,0,2,60,1,0,1
2018/03/23 9:54:01 PM EST,0,2,0,0,0,0,0,50,0,0,0
2018/03/23 9:57:15 PM EST,1,2,1,2,1,0,0,90,1,0,0
2018/03/23 9:58:24 PM EST,1,2,1,1,0,0,0,200,0,0,0
2018/03/23 9:59:10 PM EST,0,2,0,1,2,0,0,0,0,0,0
2018/03/23 9:59:32 PM EST,1,2,1,3,1,0,2,20,1,0,2
2018/03/23 10:01:26 PM EST,1,2,1,2,1,0,0,20,0,0,0
2018/03/23 10:02:35 PM EST,0,2,0,2,0,0,0,35,0,0,0
2018/03/23 10:10:19 PM EST,0,2,0,1,1,0,1,80,0,0,0
2018/03/23 10:10:41 PM EST,1,2,1,1,0,0,2,50,1,0,2
2018/03/23 10:10:55 PM EST,1,2,1,3,0,0,0,50,0,0,0
2018/03/23 10:11:00 PM EST,1,2,1,2,2,1,0,100000,1,0,2
2018/03/23 10:12:29 PM EST,1,2,1,2,0,1,0,35,0,0,0
2018/03/23 10:13:52 PM EST,1,2,2,0,1,0,2,300,1,0,2
2018/03/23 10:14:26 PM EST,1,2,1,2,0,0,1,200,1,1,0
2018/03/23 10:22:50 PM EST,1,2,2,0,0,0,1,250,1,0,0
2018/03/23 10:24:03 PM EST,1,2,1,3,1,1,1,50,0,0,0
2018/03/23 10:25:25 PM EST,1,2,2,1,1,0,0,100,1,0,0
2018/03/23 10:25:36 PM EST,1,2,1,0,0,0,1,200,1,0,2
2018/03/23 10:28:20 PM EST,0,2,0,1,1,0,1,25,0,0,0
2018/03/23 10:28:31 PM EST,0,2,0,1,1,1,0,200,0,0,0
2018/03/23 10:30:47 PM EST,1,2,1,0,0,0,1,50,1,0,1
2018/03/23 10:32:29 PM EST,0,2,0,0,0,0,0,200,0,0,0
2018/03/23 10:35:14 PM EST,1,2,1,3,1,0,2,100,0,0,2
2018/03/23 10:36:10 PM EST,1,2,1,1,1,0,1,150,0,0,2
2018/03/23 10:39:24 PM EST,1,2,1,2,0,1,1,0,1,0,0
2018/03/23 10:40:06 PM EST,1,2,1,1,0,0,0,200,1,0,1
2018/03/23 10:42:16 PM EST,1,2,2,2,0,1,0,0,0,0,0
2018/03/23 10:45:06 PM EST,0,2,0,2,0,0,0,40,0,0,0
2018/03/23 10:46:27 PM EST,1,2,1,2,0,0,2,100,0,0,2
2018/03/23 10:49:07 PM EST,0,2,0,2,0,0,0,20,0,0,0
2018/03/23 10:49:18 PM EST,0,2,0,0,0,0,1,50,0,0,0
2018/03/23 10:50:35 PM EST,0,2,0,2,1,0,0,40,0,0,2
2018/03/23 10:52:00 PM EST,1,2,1,3,1,0,0,40,1,0,1
2018/03/23 10:52:55 PM EST,0,2,0,1,0,0,0,50,0,0,0
2018/03/23 10:57:37 PM EST,1,2,1,3,1,0,0,35,1,0,0
2018/03/23 11:01:00 PM EST,1,2,1,0,1,1,1,50,1,0,0
2018/03/23 11:02:55 PM EST,1,2,1,2,1,0,0,50,1,0,2
2018/03/23 11:03:57 PM EST,1,2,0,1,0,0,1,15,0,0,0
2018/03/23 11:05:04 PM EST,0,2,0,2,1,0,0,0,0,0,0
2018/03/23 11:08:10 PM EST,1,2,1,2,1,0,2,100,0,0,0
2018/03/23 11:09:53 PM EST,1,2,2,2,1,0,0,85,0,0,0
2018/03/23 11:10:29 PM EST,1,2,1,3,0,0,0,25,0,0,0
